ip,port
,
196.53.25.250,80
221.1.205.74,8060
5.196.23.219,80
165.225.76.40,10605
165.225.196.74,10605
104.129.196.169,10605
165.225.76.169,10605
112.80.248.73,80
165.225.8.110,10605
165.225.38.94,10605
165.225.206.12,10605
165.225.12.15,10605
165.225.76.79,10605
165.225.20.123,10605
103.216.51.210,8191
,
165.225.20.95,10605
116.196.85.150,3128
27.208.26.210,8060
60.191.11.251,3128
221.232.146.212,808
47.107.174.157,5016
165.225.76.182,10605
165.225.56.16,10605
104.129.196.170,10605
165.225.76.69,10605
165.225.124.85,10605
165.225.88.55,10605
165.225.106.54,10605
165.225.206.79,10605
165.225.94.13,10605
,
165.225.202.111,10605
165.225.92.118,10605
165.225.12.107,10605
165.225.102.50,10605
165.225.26.100,10605
165.225.192.104,10605
165.225.196.61,10605
165.225.240.121,10605
165.225.240.114,10605
165.225.240.94,10605
1.255.48.197,8080
165.225.26.96,10605
165.225.76.64,10605
165.225.32.49,10605
165.225.94.121,10605
,
165.225.32.49,10605
165.225.20.94,10605
165.225.112.78,10605
165.225.10.93,10605
165.225.94.117,10605
165.225.222.103,10605
165.225.77.125,10605
165.225.226.87,10605
165.225.206.86,10605
165.225.200.101,10605
165.225.196.84,10605
165.225.10.114,10605
165.225.12.90,10605
165.225.80.228,10605
165.225.26.86,10605
,
165.225.26.86,10605
165.225.73.20,10605
165.225.94.106,10605
69.162.107.74,5836
165.225.200.100,10605
59.38.222.144,3128
165.225.192.87,10605
104.129.205.3,10605
165.225.210.77,10605
165.225.72.71,10605
59.38.222.254,3128
165.225.204.127,10605
165.225.38.25,10605
165.225.124.118,10605
104.129.196.154,10605
,
165.225.110.93,10605
58.220.95.54,9400
165.225.86.40,10605
165.225.222.91,10605
165.225.50.72,10605
104.129.198.60,10605
165.225.8.100,10605
165.225.26.107,10605
165.225.242.90,10605
165.225.240.113,10605
165.225.210.85,10605
165.225.94.77,10605
165.225.192.83,10605
165.225.94.115,10605
165.225.204.90,10605
,
165.225.112.9,10605
165.225.110.82,10605
165.225.94.113,10605
165.225.206.76,10605
165.225.200.86,10605
118.25.13.185,3128
58.218.239.164,4216
165.225.73.31,10605
165.225.202.87,10605
165.225.10.91,10605
165.225.94.107,10605
112.80.248.18,80
165.225.80.51,10605
111.206.37.100,80
61.135.185.103,80
,
165.225.194.91,10605
210.26.49.89,3128
18.130.89.239,80
165.225.80.56,10605
104.129.200.100,10605
183.232.231.76,80
165.225.80.50,10605
52.77.224.186,80
111.206.37.68,80
89.221.223.234,80
165.225.114.72,10605
165.225.20.14,10605
117.185.16.31,80
185.75.125.70,10605
165.225.104.56,10605
,
104.129.198.164,10605
165.225.10.17,10605
104.129.199.11,10605
118.126.64.81,3128
165.225.114.83,10605
104.129.196.159,10605
165.225.76.70,10605
165.225.114.74,10605
165.225.94.94,10605
165.225.200.78,10605
104.129.198.54,10605
165.225.202.80,10605
163.43.108.114,8080
165.225.116.83,10605
165.225.36.60,10605
,
104.129.198.100,10605
61.135.185.12,80
104.129.205.51,10605
165.225.92.125,10605
165.225.112.74,10605
117.185.17.145,80
165.225.76.51,10605
93.188.167.189,3128
104.129.198.221,10605
104.129.199.5,10605
165.225.92.115,10605
165.225.26.87,10605
180.97.33.249,80
165.225.73.18,10605
